customer_number,neighbor_avg_dist_km,neighbor_primary_group_count,neighbor_local_market_partners,neighbor_avg_return_freq,neighbor_avg_order_transactions_2023,neighbor_avg_order_transactions_2024,neighbor_avg_order_transaction_std_2023,neighbor_avg_order_transaction_std_2024,neighbor_avg_ordered_total_2023,neighbor_avg_ordered_total_2024
500245678,415.937894483226,0,8,0.1,15.2,12,6.01196588226256,5.62315892534174,187.6,112.1
500245685,59.9871635550826,0,8,0.1,20.2,21.4,5.0741662904062,5.54157885004242,259.6,256.8
500245686,94.4213068650001,0,10,0,17.2,15.8,6.23884800443843,3.54407246287427,203.4,177.1
500245687,175.58614970415,0,10,0,34.2,31,8.22671066170454,7.59177369124029,897.6,753.7
500245689,323.963345967532,0,10,0.1,20.8,21,13.6343638910684,8.0102632170322,600.2,702.2
500245690,138.945065590469,0,4,0.1,14.6,12,7.1289822851867,6.26414341253144,276.85,198.7
500245695,96.6150465999101,0,10,0.1,27,25.6,11.6533440347162,14.0713708545378,834.9,753
500245698,131.76208200136,0,10,0.1,13,15,9.51693655744685,10.0027433963391,183.5,203.9
500245701,331.866028387978,0,10,0.1,24.2,17.6,5.34468228073492,7.48070272954509,288.6,253.3
500245704,57.2847534303047,0,10,0.1,14.8,13.4,4.18682449039062,3.73620976574731,114.3190316,116.0020948
500245724,288.030856263445,0,10,0.1,22,24.6,11.2200045491523,9.54806640590061,438.8,524.3
500245725,64.412848166435,0,8,0,46.4,47.8,14.6233835620616,10.6767065490242,4469.6,3755.9
500245726,75.4572200506131,0,10,0,26,25.2,13.2215884509026,9.12242687709645,668.8,631.9
500245732,204.166395470096,0,10,0.1,33,30.8,6.87441970088892,6.30240481374241,554.65,548.15
500245736,77.8417681936496,0,10,0,14.2,10,8.63344814552339,1.42302204426896,164.55,103
500245738,174.514731238963,0,6,0,32,23,8.57768184746724,6.52122989548064,430.6527832,335
500245740,54.1582935844467,0,8,0.2,38,35.4,8.34544226892144,11.9943426513136,937.8,1012.7
500245741,140.255296537337,0,8,0,15.4,11.6,7.85133557425086,6.26473758728688,220.5,172.4
500245743,73.2826728992873,0,8,0,29.4,23.2,46.301640891754,64.4283374527387,1177.3,872.5
500245765,267.812823198405,0,8,0,19.8,19.2,5.33540314040515,5.66171899331668,558.2,569.7
500245769,276.028333893125,0,10,0,31.4,26.4,6.94775361349262,10.6023383759316,522.5,491.7
500245773,232.543946034092,0,10,0.2,26.8,25.4,13.2762703455825,13.6621648425759,660.286966,684.0580302
500245776,323.963345967532,0,10,0.1,20.8,21,13.6343638910684,8.0102632170322,600.2,702.2
500245778,212.130906963453,0,10,0.1,14.2,12.6,4.5717831310591,5.14953277213447,155.5,148.8
500245791,73.8893746963386,0,10,0.1,26,22,8.85884495638016,11.2111351057377,488,446.25
500245793,204.166395470096,0,10,0.1,33,30.8,6.87441970088892,6.30240481374241,554.65,548.15
500245794,79.2950414511118,0,8,0.2,19.2,18,6.88494287343573,5.79328623203156,225,216.4
500245797,59.9871635550826,0,8,0.1,20.2,21.4,5.0741662904062,5.54157885004242,259.6,256.8
500245798,210.07498869086,0,8,0,21,20.4,60.1947418761157,32.9819734836427,3899.2,2169.3
500245800,62.6818820150803,0,10,0.1,31.2,26.8,3.90281525289087,3.94956103753109,456.35,417.2
500245822,122.068283776316,0,10,0,16.4,15.6,6.62917296739977,7.03015075299342,252.3,240.8
500245824,168.497521070622,0,10,0,10.4,10.8,6.77706219444286,7.28646678396143,158,175.9
500245826,127.681328875215,0,10,0,20.8,14.6,10.1144272305714,9.69653681175552,501.2,252.2
500245831,58.5828371263733,0,8,0,37.8,32.4,7.40758694654968,8.60076663582605,753.9,601.1
500245833,122.068283776316,0,10,0,16.4,15.6,6.62917296739977,7.03015075299342,252.3,240.8
500245842,44.6325831945989,0,10,0,28.2,30.6,6.03896009053306,6.0471043663024,384.5,404.7
500245848,119.509290207109,0,10,0.2,7.4,7.6,6.11660676078932,3.45053593062919,91.3,91
500245851,236.779654270095,0,5,0.1,19.4,18.2,5.36677899153362,4.29245204536737,186.7,189.9
500245860,236.779654270095,0,10,0.1,19.4,18.2,5.36677899153362,4.29245204536737,186.7,189.9
500245861,67.4613567432601,0,8,0,17.4,10.6,6.50612023093543,6.82782820341211,252.2,206.4
500245863,157.604480038287,0,8,0,21.2,19.4,9.17096688395361,7.01135938640107,623.9,532.2
500245864,215.535553869898,0,8,0,10.6,9.4,8.42223313536306,7.07097703401299,145,121.3
500245867,62.6438987996972,0,10,0,12.8,12.6,7.62259642655708,9.37374312697615,258.85,252.1
500245873,307.643915463906,0,10,0.1,21.4,21.4,11.5101783518236,8.03272665443695,602.4,705.7
500245886,221.956263242361,0,10,0.1,20.4,17.6,5.78201926546283,7.53115045274888,278.3,289.3
500245892,121.458912131844,0,8,0,11.6,11.6,6.93355560990616,13.1421000768157,199.1,189.9
500245893,100.637431418456,0,8,0.1,24.6,22.6,8.28518094840064,2.87660924713309,264.05,193.5
500245894,89.3549804882646,0,8,0,20.6,29.4,8.0483824759487,10.8474743531357,498.8469926,654.9192382
500245898,262.459873266198,0,10,0.1,12.6,11.6,4.86580117394189,5.41778918022044,141.45,149.9
500245901,467.997342982701,0,10,0.1,20.4,17.6,5.78201926546283,7.53115045274888,278.3,289.3
500245908,279.041811814442,0,8,0.1,21.4,22.4,11.2589265536731,10.3694441411897,458.1,442.4
500245925,224.077370969078,0,10,0,15,15.2,4.98408815485517,4.34095022956006,192.05,224.05
500245926,10.2801456282197,0,8,0.3,19.8,16,51.7170455181696,7.66606629949229,345.9,203.4
500245927,124.812334087742,0,8,0,29,22,5.70426119982265,5.61474995533657,320.1,274.3
500245931,130.712145773332,0,10,0,24.2,23,7.14753269329883,6.42571095706723,583.7,425.3
500245942,124.812334087742,0,8,0,29,22,5.70426119982265,5.61474995533657,320.1,274.3
500245952,250.00820725258,0,8,0.1,24.8,23.2,5.29145074776012,4.62686354538018,239.2,239.05
500245953,67.4613567432601,0,8,0,17.4,10.6,6.50612023093543,6.82782820341211,252.2,206.4
500245963,250.983823610488,0,8,0.2,29.8,29.6,8.35952555452775,7.93930449904595,932,838
500245966,235.559746166354,0,8,0.2,25.8,20.8,6.09569589153483,6.79505821836423,341.9,317.1
500245969,94.0459074783316,0,10,0,14.4,12,6.11329352350257,8.15528903031673,351.5,357.6
500245976,58.1510348298458,0,4,0.1,27.8,29.4,7.57682362216945,9.05261606746677,720.4070004,884.6958976
500245978,72.0143246575531,0,10,0.2,31.2,24,7.35897922020561,7.34890289207918,505.7,458.7
500245995,80.808645531459,0,8,0,28.4,23.2,6.76546533023622,9.71055905099523,396.4,356
500245998,194.831697354762,0,6,0,20.8,14,4.58772321772768,4.96115309258325,195.8,151.3
500246003,65.5536917606175,0,10,0,17,12.4,3.26199096471826,2.95121688840939,224,192.7
500246021,312.717583621053,0,10,0.1,28.2,25.6,8.56056662449374,7.45567234623028,395,345
500246022,256.977573440512,0,10,0.1,36,31.8,11.5490949562749,10.5757596461104,823.9,768.4
500246023,10.2801456282197,0,8,0.3,19.8,16,51.7170455181696,7.66606629949229,345.9,203.4
500246025,130.712145773332,0,10,0,24.2,23,7.14753269329883,6.42571095706723,583.7,425.3
500246026,108.928439260849,0,8,0,25,26.4,6.72156340125148,6.13905599715611,345.6,376.3
500246030,106.357071293345,0,10,0,17.2,16.6,6.20851781870896,7.87038690861863,252.9,239.1
500246039,76.2839173153911,0,10,0,14.4,16.4,5.10670654878798,5.15415944951501,191.4,269.5
500246054,79.3133825078134,0,4,0.1,23.6,23.6,11.1516733367095,8.96869033694538,746.3,768.35
500246069,218.934898270883,0,10,0,18.4,10.6,3.22738448463677,3.93765787358249,161.495355,117.4
500246079,148.396633496558,0,10,0.1,34.8,31.6,8.80835609536472,9.00124342691579,794.8,852.2
500246084,261.688563531327,0,10,0,20.8,14.6,8.25258520932401,13.6420315997702,841.8,489.5
500246087,53.7889948605458,0,8,0.1,16.4,15,17.4528611991284,22.1413225030583,372.5688832,363.8986638
500246096,467.997342982701,0,10,0,15.2,11.8,6.77820364907774,6.96790167999753,163.3,147.3
500246104,180.725511617215,0,8,0,19.2,22.4,5.71593686772036,5.73077747691975,226.6,285.8
500246114,247.040060672002,0,8,0.1,25.4,23.8,4.30682597768012,4.31420852669179,265.1,228.5
500246120,467.997342982701,0,8,0.4,37,26.6,9.6631782485309,15.1312884106338,3171.8,1523
500246131,346.422910282496,0,8,0,22,22.8,12.7286048594676,8.21004202668841,642.2,543.3
500246139,346.422910282496,0,8,0,22,22.8,12.7286048594676,8.21004202668841,642.2,543.3
500246143,191.769691028157,0,10,0,22.4,18.8,5.88266685919787,6.54324986392971,309.05,287.3
500246151,85.6809071113601,0,10,0,18.6,19.2,5.25385653845409,5.14241838530076,322.1,360.9
500246164,196.204648239728,0,8,0,18,14.6,7.43710868998875,6.07436426383271,234.9,190.8
500246183,230.269563597142,0,10,0.1,19.2,19,6.13241655951261,7.35715313200232,286,305
500246201,97.2316816154294,0,8,0,25.8,22.4,45.0210169175203,8.48325255324311,887.5,415.1
500246207,88.0718438946808,0,8,0,28.6,27.8,9.10205824911153,8.18930550900489,949.9,874
500246209,44.0681671869647,0,8,0.1,28.8,25.4,6.26273417726727,6.70159388505543,360.4,335.5
500246210,194.191195780317,0,8,0,15.8,17.4,7.57906866131363,7.0212024382411,293.1,316.8
500246216,101.739979774451,0,10,0.1,5.6,8.4,5.67955365841995,4.93328470614179,44.4,84.6
500246218,209.819651182645,0,8,0.1,34.4,33.2,16.1585162349592,14.9662284657734,1936.7,1758.7
500246232,467.997342982701,0,6,0.1,17.6,12.4,6.86279592043526,7.45828054748253,226.9,196
500246234,321.358653461676,0,8,0.1,28,17,7.81357669781913,10.900743578063,466.9945854,258
500246237,63.5912554218064,0,10,0.1,26.8,29.6,10.1357101712374,8.0772706194013,688.2,643.55
500246246,42.5747861513642,0,5,0,19.2,18.8,7.49767721428704,6.17595845850941,635.3,598.1
500246250,467.997342982701,2,10,0,19.2,18.8,7.49767721428704,6.17595845850941,635.3,598.1
500246251,194.024461011046,0,10,0,23,21.2,12.1569726366736,10.252427653492,538.3,538
500246267,167.295237576745,0,10,0.3,18.4,15.4,6.58526293749513,6.97814495265761,235.1,220.1
500247091,89.4925213168408,0,10,0,19.2,15.2,7.52329524511985,7.78707644430776,343.9,317.2
500247117,321.358653461676,0,8,0.1,28,17,7.81357669781913,10.900743578063,466.9945854,258
500247136,26.7666770150615,0,10,0,9,9.4,5.27270854172061,5.4773620491133,158.8,133.4
500247157,109.70119205552,0,8,0.1,43.4,28.6,9.7520346401818,15.3519286296058,3194.8,1538
500247159,63.184807303542,0,8,0.3,32,31.4,48.7183032549421,38.5092674542666,5183.091052,4236.896532
500247166,94.3336949434901,0,8,0,17.2,16.4,4.25293483454666,5.99840724404391,273.1,287.9
500248354,74.7102420950721,0,5,0,14.8,13,3.10255576405121,8.0490218640781,144.8,172.7
500249392,254.648067347977,0,10,0,25.8,18.2,5.2196519432634,4.64735048688027,276.85,254.2
500249461,54.1582935844467,0,8,0.2,38,35.4,8.34544226892144,11.9943426513136,937.8,1012.7
500251941,116.324406079695,0,10,0.2,19.2,12,27.100484012947,44.4814751890878,583.1,1091
500253052,72.4339715066718,0,10,0.1,15.2,12,3.23732242632428,4.57305766465855,148.8,122
500253203,48.6243813289975,0,10,0,26,22.4,6.07398299278425,7.22020661440958,595.3,611.7
500253473,256.977573440512,0,10,0.1,36,31.8,11.5490949562749,10.5757596461104,823.9,768.4
500254987,189.220267918279,0,10,0,30,22,9.34693159131023,15.6569322779453,1026.3,686.1
500255217,467.997342982701,2,8,0,20.6,22,8.30014057462186,6.71207848652776,286.6025852,318.4386928
500255371,48.6243813289975,0,10,0,26,22.4,6.07398299278425,7.22020661440958,595.3,611.7
500255422,65.5536917606175,0,10,0,17,12.4,3.26199096471826,2.95121688840939,224,192.7
